Titulo;Autor;Interprete;Tom;Categoria;Categoria rotulo;Link da letra;Link da cifra;Link de referencia;Observacao;Ativo
MARIA, MÃE DA MINHA VIDA;Eliana Ribeiro;Eliana Ribeiro;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Eliana+Ribeiro+MARIA%2C+M%C3%83E+DA+MINHA+VIDA;Mariana / entrega e devoção;Sim
MARIA, MÃE DOS CAMINHANTES;Pe. Zezinho, SCJ;Padre Zezinho;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Padre+Zezinho+MARIA%2C+M%C3%83E+DOS+CAMINHANTES;Mariana / peregrinação e caminhada;Sim
MARIA, PORTA DO CÉU;Vida Reluz;Vida Reluz;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Vida+Reluz+MARIA%2C+PORTA+DO+C%C3%89U;Mariana / intercessão;Sim
MARIA, TU QUE VELAS POR MIM;Repertório católico;Músicas Católicas;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+MARIA%2C+TU+QUE+VELAS+POR+MIM;Mariana / intercessão;Sim
ME CONDUZIRÁS;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/me-conduziras/;https://www.cifraclub.com.br/davidson-silva/me-conduziras/;https://www.youtube.com/results?search_query=Davidson+Silva+Me+Conduzirás;Pós-comunhão / oração / ação de graças;Sim
ME CONSAGRO A TI;Frei Gilson;Frei Gilson;Bm;OUTROS;Outros;https://www.cifraclub.com.br/frei-gilson/me-consagro-a-ti/;https://www.cifraclub.com.br/frei-gilson/me-consagro-a-ti/;https://www.youtube.com/results?search_query=Frei+Gilson+ME+CONSAGRO+A+TI;Consagração / entrega;Sim
MERGULHEI;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/mergulhei/;https://www.cifraclub.com.br/davidson-silva/mergulhei/;https://www.youtube.com/results?search_query=Davidson+Silva+Mergulhei;Pós-comunhão / oração / ação de graças;Sim
MESMO SENDO DEUS;Comunidade Católica Shalom;Comunidade Católica Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/mesmo-sendo-deus/;https://www.cifraclub.com.br/comunidade-catolica-shalom/mesmo-sendo-deus/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Mesmo+Sendo+Deus;Pós-comunhão / oração / ação de graças;Sim
MEU BOM PASTOR;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/meu-bom-pastor/;https://www.cifraclub.com.br/davidson-silva/meu-bom-pastor/;https://www.youtube.com/results?search_query=Davidson+Silva+Meu+Bom+Pastor;Pós-comunhão / oração / ação de graças;Sim
MEU CAMINHO;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/meu-caminho/;https://www.cifraclub.com.br/davidson-silva/meu-caminho/;https://www.youtube.com/results?search_query=Davidson+Silva+Meu+Caminho;Pós-comunhão / oração / ação de graças;Sim
MEU CORAÇÃO;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/meu-coracao/;https://www.cifraclub.com.br/davidson-silva/meu-coracao/;https://www.youtube.com/results?search_query=Davidson+Silva+Meu+Coração;Pós-comunhão / oração / ação de graças;Sim
MEU CORAÇÃO ESTÁ PRONTO PRA TE AMAR;Frei Gilson;Frei Gilson;Bb;OUTROS;Outros;https://www.cifraclub.com.br/frei-gilson/meu-coracao-esta-pronto-pra-te-amar/;https://www.cifraclub.com.br/frei-gilson/meu-coracao-esta-pronto-pra-te-amar/;https://www.youtube.com/results?search_query=Frei+Gilson+MEU+CORA%C3%87%C3%83O+EST%C3%81+PRONTO+PRA+TE+AMAR;Amor de Deus / entrega;Sim
MEU PAI;Ministério Missionário Shalom;Ministério Missionário Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/missionario-shalom/meu-pai/;https://www.cifraclub.com.br/missionario-shalom/meu-pai/;https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Meu+Pai;Pós-comunhão / oração / ação de graças;Sim
MEU TUDO;Comunidade Católica Shalom;Comunidade Católica Shalom;;ADORACAO;Adoração;;;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+MEU+TUDO;Adoração / entrega a Cristo;Sim
MILAGRE;Adriana Arydes;Adriana Arydes;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/adriana/milagre/;https://www.cifraclub.com.br/adriana/milagre/;https://www.youtube.com/results?search_query=Adriana+Arydes+Milagre;Pós-comunhão / oração / ação de graças;Sim
MILAGRE DE AMOR;Padre Fábio de Melo;Padre Fábio de Melo;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/pe-fabio-de-melo/milagre-de-amor/;https://www.cifraclub.com.br/pe-fabio-de-melo/milagre-de-amor/;https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Milagre+de+Amor;Pós-comunhão / oração / ação de graças;Sim
MINH'ALMA DÁ GLÓRIAS AO SENHOR;Repertório litúrgico católico;Músicas Católicas;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+MINH%27ALMA+D%C3%81+GL%C3%93RIAS+AO+SENHOR;Mariana / Magnificat;Sim
MINHA ESSÊNCIA;Thiago Brado;Thiago Brado;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;;;https://www.youtube.com/results?search_query=Thiago+Brado+MINHA+ESS%C3%8ANCIA;Pós-comunhão / entrega e oração;Sim
MINHA FAMÍLIA É UMA BENÇÃO;Frei Gilson;Frei Gilson;G;OUTROS;Outros;https://www.letras.mus.br/frei-gilson/3852636/;https://www.cifraclub.com.br/frei-gilson/minha-familia-e-uma-bencao/;;Família;Sim
MINHA FAMÍLIA É UMA BÊNÇÃO;Frei Gilson;Frei Gilson;G;OUTROS;Outros;https://www.cifraclub.com.br/frei-gilson/minha-familia-e-uma-bencao/;https://www.cifraclub.com.br/frei-gilson/minha-familia-e-uma-bencao/;https://www.youtube.com/results?search_query=Frei+Gilson+MINHA+FAM%C3%8DLIA+%C3%89+UMA+B%C3%8AN%C3%87%C3%83O;Família / bênção;Sim
