Titulo;Autor;Interprete;Tom;Categoria;Categoria rotulo;Link da letra;Link da cifra;Link de referencia;Observacao;Ativo
O CANTO DOS SINOS;Canção Nova;Canção Nova;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/cancao-nova/o-canto-dos-sinos/;https://www.cifraclub.com.br/cancao-nova/o-canto-dos-sinos/;https://www.youtube.com/results?search_query=Canção+Nova+O+Canto+Dos+Sinos;Pós-comunhão / oração / ação de graças;Sim
O ELEVADOR;Comunidade Católica Shalom;Comunidade Católica Shalom;;ADORACAO;Adoração;https://www.cifraclub.com.br/comunidade-catolica-shalom/o-elevador/;https://www.cifraclub.com.br/comunidade-catolica-shalom/o-elevador/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+O+Elevador;Adoração;Sim
O ESPÍRITO DE DEUS, ALELUIA;José Raimundo;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;;;https://www.youtube.com/results?search_query=CNBB+%2F+M%C3%BAsica+Lit%C3%BArgica+O+ESP%C3%8DRITO+DE+DEUS%2C+ALELUIA;Pentecostes / Espírito de Deus;Sim
O ESPÍRITO DO SENHOR;"Frei José Moacyr Cadenassi, OFMCap; música: Frei José Luiz Prim, OFM";Frei José Luiz Prim, OFM;;FINAL;Final;;;https://www.youtube.com/results?search_query=Frei+Jos%C3%A9+Luiz+Prim%2C+OFM+O+ESP%C3%8DRITO+DO+SENHOR;Canto final / missão no Espírito / Assunção de Nossa Senhora;Sim
O ESPÍRITO DO SENHOR REPOUSA SOBRE MIM;Pe. José Weber, SVD;Pe. José Weber, SVD;;FINAL;Final;;;https://www.youtube.com/results?search_query=Pe.+Jos%C3%A9+Weber%2C+SVD+O+ESP%C3%8DRITO+DO+SENHOR+REPOUSA+SOBRE+MIM;Canto final / Pentecostes / missão;Sim
O ETERNO;Comunidade Católica Shalom;Comunidade Católica Shalom;;OUTROS;Outros;https://www.cifraclub.com.br/comunidade-catolica-shalom/o-eterno/;https://www.cifraclub.com.br/comunidade-catolica-shalom/o-eterno/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+O+ETERNO;Louvor / contemplação;Sim
O MELHOR TU TENS PRA MIM;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/o-melhor-tu-tens-pra-mim/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/o-melhor-tu-tens-pra-mim/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+O+Melhor+Tu+Tens+Pra+Mim;Pós-comunhão / oração / ação de graças;Sim
O MUNDO VAI OUVIR A SUA VOZ;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/o-mundo-vai-ouvir-a-sua-voz/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/o-mundo-vai-ouvir-a-sua-voz/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+O+Mundo+Vai+Ouvir+a+Sua+Voz;Pós-comunhão / oração / ação de graças;Sim
O PAI ENVIOU SEU FILHO QUERIDO;Pe. José Freitas Campos;Pe. José Freitas Campos;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=pFQejP-b8EI;Comunhão / Cristo enviado pelo Pai;Sim
O PAI TE ESPERA;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/o-pai-te-espera/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/o-pai-te-espera/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+O+Pai+Te+Espera;Pós-comunhão / oração / ação de graças;Sim
O POÇO;Adriana Arydes;Adriana Arydes;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/adriana/o-poco/;https://www.cifraclub.com.br/adriana/o-poco/;https://www.youtube.com/results?search_query=Adriana+Arydes+O+Poço;Pós-comunhão / oração / ação de graças;Sim
O PÃO DA VIDA - COMUNHÃO;Músicas Católicas;Músicas Católicas;D;COMUNHAO;Comunhão;https://www.cifraclub.com.br/catolicas/o-pao-da-vida-comunhao/;https://www.cifraclub.com.br/catolicas/o-pao-da-vida-comunhao/;;Comunhão / Pão da Vida e unidade com Cristo e os irmãos;Sim
O PÃO DA VIDA, A COMUNHÃO;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=jZVqI9Fo0jI;Comunhão / Pão da Vida / Hinário Litúrgico da CNBB;Sim
O PÃO DE DEUS É O PÃO DA VIDA;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=8PdnGv0JC_c;Comunhão / Pão da Vida / Hinário Litúrgico da CNBB;Sim
O SANTO NOME DO SENHOR;"Gradual Triplex; Liturgia das Horas; música: Frei Wanderson Luiz, O.Carm.";Frei Wanderson Luiz, O.Carm.;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Exaltação da Santa Cruz;Sim
O SENHOR PODEROSO EM AMOR;Reginaldo Veloso;Reginaldo Veloso;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=Q-QSiLs3-GY;Comunhão / convite ao banquete eucarístico;Sim
O SENHOR SUBIU AO CÉU, ALELUIA!;Reginaldo Veloso;Reginaldo Veloso;;COMUNHAO;Comunhão;;;;Comunhão / Ascensão do Senhor / Salmo 68(67);Sim
OBRA NOVA;Vida Reluz;Vida Reluz;;FINAL;Final;;;https://www.youtube.com/results?search_query=Vida+Reluz+OBRA+NOVA;"Canto final / missão e vida nova; repertório classificado como FINAL";Sim
OCEANOS;Hillsong United / versão em português;Frei Gilson;Bm;OUTROS;Outros;https://www.cifraclub.com.br/frei-gilson/oceanos/;https://www.cifraclub.com.br/frei-gilson/oceanos/;https://www.youtube.com/results?search_query=Frei+Gilson+OCEANOS;Confiança / fé;Sim
OFERTA;Ministério Missionário Shalom;Ministério Missionário Shalom;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/missionario-shalom/oferta/;https://www.cifraclub.com.br/missionario-shalom/oferta/;https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Oferta;Apresentação das oferendas;Sim
OFERTA DE LOUVOR;Ministério Amor e Adoração;Ministério Amor e Adoração;A;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/oferta-de-louvor/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/oferta-de-louvor/;;Apresentação das oferendas;Sim
OFÍCIO DA IMACULADA CONCEIÇÃO;Canção Nova;Canção Nova;;MARIANA;Mariana;https://www.cifraclub.com.br/cancao-nova/oficio-da-imaculada-conceicao/;https://www.cifraclub.com.br/cancao-nova/oficio-da-imaculada-conceicao/;https://www.youtube.com/results?search_query=Canção+Nova+Ofício+da+Imaculada+Conceição;Mariana;Sim
OH SENHOR TENDE PIEDADE;Ministério Amor e Adoração;Ministério Amor e Adoração;;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/oh-senhor-tende-piedade/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/oh-senhor-tende-piedade/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Oh+Senhor+Tende+Piedade;Ato penitencial;Sim
OH! ESPÍRITO SANTO;Almeida Neto;Comunidade Católica Shalom;E;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/comunidade-catolica-shalom/oh-espirito-santo/;https://www.cifraclub.com.br/comunidade-catolica-shalom/oh-espirito-santo/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+OH%21+ESP%C3%8DRITO+SANTO;Invocação ao Espírito Santo / consolação e renovação;Sim
OLHA PRA MIM;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/olha-pra-mim/;https://www.cifraclub.com.br/davidson-silva/olha-pra-mim/;https://www.youtube.com/results?search_query=Davidson+Silva+Olha+Pra+Mim;Pós-comunhão / oração / ação de graças;Sim
ORAÇÃO DE SÃO FRANCISCO;Adriana Arydes;Adriana Arydes;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/adriana/oracao-de-sao-francisco/;https://www.cifraclub.com.br/adriana/oracao-de-sao-francisco/;https://www.youtube.com/results?search_query=Adriana+Arydes+Oração+de+São+Francisco;Pós-comunhão / oração / ação de graças;Sim
ORAÇÃO EUCARÍSTICA;Comunidade Católica Shalom;Comunidade Católica Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/oracao-eucaristica/;https://www.cifraclub.com.br/comunidade-catolica-shalom/oracao-eucaristica/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Oração+Eucarística;Pós-comunhão / oração / ação de graças;Sim
ORAÇÃO EUCARÍSTICA I;Comunidade Católica Shalom;Comunidade Católica Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/oracao-eucaristica-i/;https://www.cifraclub.com.br/comunidade-catolica-shalom/oracao-eucaristica-i/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Oração+Eucarística+I;Pós-comunhão / oração / ação de graças;Sim
OS CÉUS SE ABRIRAM;;;;ENTRADA;Entrada;;;;Entrada / Batismo do Senhor;Sim
OS OLHOS JAMAIS CONTEMPLARAM;Ir. Míria T. Kolling;Ir. Míria T. Kolling;;OFERTORIO;Apresentação das Oferendas;;;https://www.youtube.com/watch?v=QlhKjDlxwRw;Apresentação das oferendas / Fiéis Defuntos;Sim
PAI NOSSO;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/pai-nosso/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/pai-nosso/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Pai+Nosso;Pós-comunhão / oração / ação de graças;Sim
PARA ADORAR A TI;Renato Borges Neto;Comunidade Católica Shalom;;ADORACAO;Adoração;https://www.cifraclub.com.br/comunidade-catolica-shalom/para-adorar-a-ti/;https://www.cifraclub.com.br/comunidade-catolica-shalom/para-adorar-a-ti/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+PARA+ADORAR+A+TI;Adoração / louvor e entrega;Sim
PARA SEMPRE TEU;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/para-sempre-teu/;https://www.cifraclub.com.br/davidson-silva/para-sempre-teu/;https://www.youtube.com/results?search_query=Davidson+Silva+Para+Sempre+Teu;Pós-comunhão / oração / ação de graças;Sim
PARAPAPA;Ministério Missionário Shalom;Ministério Missionário Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/missionario-shalom/parapapa/;https://www.cifraclub.com.br/missionario-shalom/parapapa/;https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Parapapa;Pós-comunhão / oração / ação de graças;Sim
PAZ NA TERRA;Comunidade Católica Shalom;Comunidade Católica Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/paz-na-terra/;https://www.cifraclub.com.br/comunidade-catolica-shalom/paz-na-terra/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Paz+Na+Terra;Pós-comunhão / oração / ação de graças;Sim
PEGADAS DE TUA AUSÊNCIA;Padre Fábio de Melo;Padre Fábio de Melo;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/pe-fabio-de-melo/pegadas-de-tua-ausencia/;https://www.cifraclub.com.br/pe-fabio-de-melo/pegadas-de-tua-ausencia/;https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Pegadas+de+Tua+Ausência;Pós-comunhão / oração / ação de graças;Sim
PELAS ESTRADAS DA VIDA;;;;ENTRADA;Entrada;;;;Entrada / caminhada;Sim
PELO SINAL DA SANTA CRUZ;"Gradual Romano e Liturgia das Horas; música: Gílson Celerino";Gílson Celerino;;COMUNHAO;Comunhão;;;;Comunhão / Exaltação da Santa Cruz;Sim
PELOS PECADOS - ATO PENITENCIAL;Músicas Católicas;Músicas Católicas;G;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/catolicas/pelos-pecados-ato-penitencial/;https://www.cifraclub.com.br/catolicas/pelos-pecados-ato-penitencial/;;Ato penitencial / perdão;Sim
PERANTE OS VOSSOS ANJOS;"Graduale Simplex; Liturgia das Horas; música: Angelo La Serra";Angelo La Serra;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Fiéis Defuntos;Sim
PERDOA-ME;Comunidade Católica Shalom;Comunidade Católica Shalom;E;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/comunidade-catolica-shalom/perdoa-me/;https://www.cifraclub.com.br/comunidade-catolica-shalom/perdoa-me/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Perdoa-me;Ato penitencial;Sim
PERDOA-ME - VERSÃO LITÚRGICA;Comunidade Católica Shalom;Comunidade Católica Shalom;D;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/comunidade-catolica-shalom/perdoa-me-versao-liturgica/;https://www.cifraclub.com.br/comunidade-catolica-shalom/perdoa-me-versao-liturgica/;;Ato penitencial / fórmula litúrgica;Sim
PERFEITO É QUEM TE CRIOU;Walmir Alencar;Vida Reluz;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Vida+Reluz+PERFEITO+%C3%89+QUEM+TE+CRIOU;Mariana / Imaculada Conceição / louvor a Deus pela Virgem Maria;Sim
PESCADOR DE HOMENS;Frei Gilson;Frei Gilson;Am;FINAL;Final;https://www.letras.mus.br/frei-gilson/2873627/;https://www.cifraclub.com.br/frei-gilson/pescador-de-homens/;;Vocacional / envio;Sim
PIEDADE DE NÓS;Comunidade Católica Shalom;Comunidade Católica Shalom;;ATO_PENITENCIAL;Ato Penitencial;;;;Ato penitencial / perdão;Sim
PLENITUDE DA VERDADE, KYRIE;Ministério Amor e Adoração;Ministério Amor e Adoração;;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/plenitude-da-verdade-kyrie/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/plenitude-da-verdade-kyrie/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Plenitude+da+Verdade,+Kyrie;Ato penitencial;Sim
PORQUE CHORAS;Frei Gilson;Frei Gilson;A;OUTROS;Outros;https://www.cifraclub.com.br/frei-gilson/porque-choras/;https://www.cifraclub.com.br/frei-gilson/porque-choras/;https://www.youtube.com/results?search_query=Frei+Gilson+PORQUE+CHORAS;Consolo / esperança;Sim
PORQUE SOIS FILHOS;Frei Wanderson Luiz Freitas, O.Carm.;Frei Wanderson Luiz Freitas, O.Carm.;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=c10OZx3bMrQ;Comunhão / Santíssima Trindade / Gl 4,6;Sim
POSSO TUDO POSSO;Padre Fábio de Melo;Padre Fábio de Melo;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/pe-fabio-de-melo/posso-tudo-posso/;https://www.cifraclub.com.br/pe-fabio-de-melo/posso-tudo-posso/;https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Posso+Tudo+Posso;Pós-comunhão / oração / ação de graças;Sim
PRA TE LOUVAR;Adriana Arydes;Adriana Arydes;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/adriana/pra-te-louvar/;https://www.cifraclub.com.br/adriana/pra-te-louvar/;https://www.youtube.com/results?search_query=Adriana+Arydes+Pra+Te+Louvar;Pós-comunhão / oração / ação de graças;Sim
PRESENÇA DIVINA;Comunidade Católica Shalom;Comunidade Católica Shalom;;ADORACAO;Adoração;;;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+PRESEN%C3%87A+DIVINA;Adoração / presença de Deus;Sim
PRESENÇA REAL;Marcos da Matta;Marcos da Matta;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=1TK8xeljCFw;Comunhão / presença real de Cristo na Eucaristia;Sim
PÃO E VINHO;"Carlos Eduardo Da Silva; Thiago Tome";Ministério Amor e Adoração;A;OFERTORIO;Apresentação das Oferendas;https://www.letras.mus.br/ministerio-amor-e-adoracao/1866371/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/pao-e-vinho/;https://www.youtube.com/watch?v=9DajLjlxM1o;Apresentação das oferendas;Sim
PÃO E VINHO, PAI POREMOS;Ir. Míria T. Kolling;Ir. Míria T. Kolling;;OFERTORIO;Apresentação das Oferendas;;;https://www.youtube.com/watch?v=5-l_LHdj9cY;Apresentação das oferendas / Pentecostes;Sim
PÃO EM TODAS AS MESAS;CNBB / Música Litúrgica;CNBB / Música Litúrgica;;FINAL;Final;;;https://www.youtube.com/watch?v=Fz5WoxIDK54;Louvor final / Corpus Christi;Sim
QUAL É A CHAVE;Adriana Arydes;Adriana Arydes;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/adriana/qual-e-a-chave/;https://www.cifraclub.com.br/adriana/qual-e-a-chave/;https://www.youtube.com/results?search_query=Adriana+Arydes+Qual+É+a+Chave;Pós-comunhão / oração / ação de graças;Sim
QUANDO A PLENITUDE DOS TEMPOS CHEGOU;;;;ENTRADA;Entrada;;;;Entrada / Natal;Sim
QUANDO EU FOR EXALTADO;"Missal Romano e Lecionário; música: Frei Wanderson Luiz Freitas, O.Carm.";Frei Wanderson Luiz Freitas, O.Carm.;;COMUNHAO;Comunhão;;;;Comunhão / Exaltação da Santa Cruz / Jo 12,32;Sim
QUANDO O ESPÍRITO DE DEUS SOPROU;Zé Vicente;Zé Vicente;;FINAL;Final;;;https://www.youtube.com/watch?v=Iq9v14IztBI;Canto final / Pentecostes / envio no Espírito;Sim
QUE MARAVILHA, SENHOR, ESTAR AQUI;CNBB / Música Litúrgica;CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Missa do Crisma / oferta comunitária;Sim
QUE PODEREI RETRIBUIR;Comunidade Católica Shalom;Comunidade Católica Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/que-poderei-retribuir/;https://www.cifraclub.com.br/comunidade-catolica-shalom/que-poderei-retribuir/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Que+Poderei+Retribuir;Pós-comunhão / oração / ação de graças;Sim
QUE PODEREI RETRIBUIR AO SENHOR;"Pe. José Weber; Arr. Delphim Rezende Porto";Pe. José Weber;F;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/pe-jose-weber/que-poderei-retribuir-ao-senhor/;https://www.cifraclub.com.br/pe-jose-weber/que-poderei-retribuir-ao-senhor/;;Apresentação das oferendas / Salmo 115 / ação de graças;Sim
QUEM COME MINHA CARNE;Paulo Neto;Paulo Neto;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=bTObIitD9DU;Comunhão / Corpus Christi / discurso do Pão da Vida;Sim
QUEM HABITARÁ NA TUA CASA?;Jocy Rodrigues;Jocy Rodrigues;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Fiéis Defuntos;Sim
QUEM É ESSA;Comunidade Católica Shalom;Comunidade Católica Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/quem-e-essa/;https://www.cifraclub.com.br/comunidade-catolica-shalom/quem-e-essa/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Quem+É+Essa;Pós-comunhão / oração / ação de graças;Sim
QUEM É ESSE DEUS;Ministério Missionário Shalom;Ministério Missionário Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/missionario-shalom/quem-e-esse-deus/;https://www.cifraclub.com.br/missionario-shalom/quem-e-esse-deus/;https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Quem+é+esse+Deus;Pós-comunhão / oração / ação de graças;Sim
QUEM É ESTA QUE AVANÇA COMO A AURORA;Repertório católico;Vida Reluz;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Vida+Reluz+QUEM+%C3%89+ESTA+QUE+AVAN%C3%87A+COMO+A+AURORA;Mariana / Imaculada / devoção;Sim
QUEREMOS TE VER;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/queremos-te-ver/;https://www.cifraclub.com.br/davidson-silva/queremos-te-ver/;https://www.youtube.com/results?search_query=Davidson+Silva+Queremos+Te+Ver;Pós-comunhão / oração / ação de graças;Sim
QUERO CONFESSAR;Ministério Amor e Adoração;Ministério Amor e Adoração;A;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/quero-confessar/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/quero-confessar/;;Canto penitencial;Sim
QUERO LEVAR ESTA BÍBLIA;;;;ENTRADA;Entrada;;;;Entrada / Palavra e missão;Sim
QUERO OUVIR TUA PALAVRA;Ministério Amor e Adoração;Ministério Amor e Adoração;;ACLAMACAO;Aclamação ao Evangelho;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/quero-ouvir-tua-palavra/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/quero-ouvir-tua-palavra/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Quero+Ouvir+Tua+Palavra;Aclamação / Palavra;Sim
QUERO TUA VONTADE;Ministério Missionário Shalom;Ministério Missionário Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/missionario-shalom/quero-tua-vontade/;https://www.cifraclub.com.br/missionario-shalom/quero-tua-vontade/;https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Quero+Tua+Vontade;Pós-comunhão / oração / ação de graças;Sim
RAINHA DOS CÉUS;Comunidade Católica Shalom;Comunidade Católica Shalom;;MARIANA;Mariana;https://www.cifraclub.com.br/comunidade-catolica-shalom/rainha-dos-ceus/;https://www.cifraclub.com.br/comunidade-catolica-shalom/rainha-dos-ceus/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Rainha+dos+Céus;Mariana;Sim
RAIOS DE MISERICÓRDIA;Ministério Amor e Adoração;Ministério Amor e Adoração;;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/raios-de-misericordia/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/raios-de-misericordia/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Raios+de+Misericórdia;Ato penitencial;Sim
RECEBE ADORAÇÃO;Ministério Amor e Adoração;Ministério Amor e Adoração;C;ADORACAO;Adoração;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/recebe-adoracao/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/recebe-adoracao/;;Adoração / oração;Sim
RECEBE, DEUS AMIGO;"Juracy B. A. Junior; música: Juliano Lima Lucas";CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Quaresma;Sim
RECEBEMOS, Ó DEUS;;;;ENTRADA;Entrada;;;;Entrada / misericórdia;Sim
REDENÇÃO;Frei Gilson;Frei Gilson;D;OUTROS;Outros;https://www.cifraclub.com.br/frei-gilson/redencao/;https://www.cifraclub.com.br/frei-gilson/redencao/;https://www.youtube.com/results?search_query=Frei+Gilson+REDEN%C3%87%C3%83O;Redenção / cruz;Sim
REFÚGIO E SALVAÇÃO;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/refugio-e-salvacao/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/refugio-e-salvacao/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Refúgio+e+Salvação;Pós-comunhão / oração / ação de graças;Sim
REI DOS CÉUS;Comunidade Católica Shalom;Comunidade Católica Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/rei-dos-ceus/;https://www.cifraclub.com.br/comunidade-catolica-shalom/rei-dos-ceus/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Rei+dos+Céus;Pós-comunhão / oração / ação de graças;Sim
RENOVA DO MUNDO;Comunidade Católica Shalom;Comunidade Católica Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/renova-do-mundo/;https://www.cifraclub.com.br/comunidade-catolica-shalom/renova-do-mundo/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Renova+do+Mundo;Pós-comunhão / oração / ação de graças;Sim
RESTA TER FÉ;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/resta-ter-fe/;https://www.cifraclub.com.br/davidson-silva/resta-ter-fe/;https://www.youtube.com/results?search_query=Davidson+Silva+Resta+Ter+Fé;Pós-comunhão / oração / ação de graças;Sim
RETORNA, ISRAEL;Frei Telles Ramon, O. de M.;Frei Telles Ramon, O. de M.;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Quaresma;Sim
REUNIDOS AQUI;Adriana Arydes;Adriana Arydes;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/adriana/reunidos-aqui/;https://www.cifraclub.com.br/adriana/reunidos-aqui/;https://www.youtube.com/results?search_query=Adriana+Arydes+Reunidos+Aqui;Pós-comunhão / oração / ação de graças;Sim
RIOS DE ÁGUA VIVA;Comunidade Católica Shalom;Comunidade Católica Shalom;Bb;OUTROS;Outros;https://www.cifraclub.com.br/comunidade-catolica-shalom/rios-de-agua-viva/;https://www.cifraclub.com.br/comunidade-catolica-shalom/rios-de-agua-viva/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+RIOS+DE+%C3%81GUA+VIVA;Vida no Espírito / oração;Sim
SACRAMENTO DA COMUNHÃO;Nelsinho Corrêa;Nelsinho Corrêa;D;COMUNHAO;Comunhão;https://www.cifraclub.com.br/nelsinho-correa/sacramento-da-comunhao/;https://www.cifraclub.com.br/nelsinho-correa/sacramento-da-comunhao/;;Comunhão / presença de Cristo no Sacramento;Sim
SACRIFÍCIO DE AMOR;Comunidade Católica Shalom;Comunidade Católica Shalom;;OUTROS;Outros;https://www.cifraclub.com.br/comunidade-catolica-shalom/sacrificio-de-amor/;https://www.cifraclub.com.br/comunidade-catolica-shalom/sacrificio-de-amor/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+SACRIF%C3%8DCIO+DE+AMOR;Paixão de Cristo / amor;Sim
